"TIME","GEO","CROPS","STRUCPRO","Value","Flag and Footnotes"
"2009","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","58,935.04",""
"2009","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","1,312.44","d"
"2009","European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","European Union (current composition)","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","59,494.60",""
"2009","European Union (current composition)","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","1,315.46","d"
"2009","European Union (current composition)","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Belgium","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","345.00",""
"2009","Belgium","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","1.70",""
"2009","Belgium","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","0.10",""
"2009","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","0.00",""
"2009","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","0.10",""
"2009","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","0.00",""
"2009","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Vlaams Gewest","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","151.70",""
"2009","Vlaams Gewest","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","0.40",""
"2009","Vlaams Gewest","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Prov. Antwerpen","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","11.70",""
"2009","Prov. Antwerpen","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","0.10",""
"2009","Prov. Antwerpen","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Prov. Limburg (BE)","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","21.30",""
"2009","Prov. Limburg (BE)","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","0.00",""
"2009","Prov. Limburg (BE)","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Prov. Oost-Vlaanderen","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","34.20",""
"2009","Prov. Oost-Vlaanderen","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","0.20",""
"2009","Prov. Oost-Vlaanderen","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Prov. Vlaams-Brabant","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","35.00",""
"2009","Prov. Vlaams-Brabant","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","0.00",""
"2009","Prov. Vlaams-Brabant","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Prov. West-Vlaanderen","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","49.50",""
"2009","Prov. West-Vlaanderen","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","0.10",""
"2009","Prov. West-Vlaanderen","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Région wallonne","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","193.30",""
"2009","Région wallonne","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","1.20",""
"2009","Région wallonne","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Prov. Brabant Wallon","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","27.90",""
"2009","Prov. Brabant Wallon","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","0.10",""
"2009","Prov. Brabant Wallon","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Prov. Hainaut","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","70.80",""
"2009","Prov. Hainaut","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","0.30",""
"2009","Prov. Hainaut","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Prov. Liège","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","34.50",""
"2009","Prov. Liège","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","0.10",""
"2009","Prov. Liège","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Prov. Luxembourg (BE)","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","11.10",""
"2009","Prov. Luxembourg (BE)","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","0.30",""
"2009","Prov. Luxembourg (BE)","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Prov. Namur","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)","48.90",""
"2009","Prov. Namur","Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)","Area (cultivation/harvested/production) (1000 ha)","0.30",""
"2009","Prov. Namur","Permanent grassland","Area (cultivation/harvested/production) (1000 ha)",":",""
"2009","Extra-Regio NUTS 1","Cereals for the production of grain (including seed)","Area (cultivation/harvested/production) (1000 ha)",":",""
